"","...1","site","date","city","county","state","lat","lng","n_post","upvotes","n_comment","stars","reviews","type","introduce","review","url","hot"
"11",10,"SUMMIT One Vanderbilt",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,25,555,221,4.5,3689,"Tourist attraction","None","['  I have been to a few observatories before in Newyork and Chicago. I certainly think this one is a most amazing experience I had. The staff was disciplined and friendly. No major wait they called inside and offered shoe covers. We entered … ', '  The once in a lifetime experience is coming to the summit! I’ve been to all the observations decks in nyc and my favorite is the summit. First time here and definitely won’t be the last, I visited for photography day this past Friday … ', '  Surprisingly a great visit for a central New York observatory. Almost felt like a theme park roller coaster to get up to the observation deck but you’re greeted with amazing views of Manhattan, Brooklyn/queens, New Jersey, and key sights … ']","https://www.google.com.tw/maps/place/SUMMIT+One+Vanderbilt/data=!4m7!3m6!1s0x89c259ee2035b277:0x5e86025852d8fe6e!8m2!3d40.752764!4d-73.9787461!16s%2Fg%2F11l_drfg66!19sChIJd7I1IO5ZwokRbv7YUlgChl4?authuser=0&hl=en&rclk=1",0.402553465588095
"12",11,"Madame Tussauds New York",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,247,29800,5919,4.4,22175,"Tourist attraction","museum chain for life-size wax replicas of famous Americans & historic icons in themed galleries.","['  This place is amazingly fun. We had such a great time walking through the exhibits and meeting various staff members, two that come to mind are Jade and Jesus. The rotating staff was amazing because they were so personable, friendly and … ', '  Absolutely loved this place! It is unbelievably realistic how some of the celebrities look. Only issue was I was a little agitated that I was forced to purchase an admission ticket with the 4D Marvel movie, I only wanted the regular … ', '  It was great, but the elevators broke while I was there in late July. I would love to visit again. You start your journey on the top floor and work your way down. My photos stop after the 5-6 floor where they as for you to complete a survey … ']","https://www.google.com.tw/maps/place/Madame+Tussauds+New+York/data=!4m7!3m6!1s0x89c25854af9f53f1:0xe72a0c97fe7d2986!8m2!3d40.7564269!4d-73.9888338!16s%2Fm%2F0138mw7p!19sChIJ8VOfr1RYwokRhil9_pcMKuc?authuser=0&hl=en&rclk=1",5.51538264961128
"13",12,"Bethesda Terrace",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,2,7,6,4.7,9128,"Tourist attraction","Bi-level, lakeside terrace with a large fountain & carvings representing the seasons & times of day.","['  This is inside the Central Park in NYC.\nThe fountains and the pond next to is awesome but you must note that if you are or someone on a wheelchair, you may have trouble getting to it easily. … ', '  Bethesda Terrace always fulfilled with a ton of tourists but still attractive as always. In the sunny day she will more beautiful and in the sunset time atmosphere around her is indescribable. You can go there alone and enjoyed all the … ', '  This one of those rare places to take wonderful pictures.\n\nFall afternoons are magical. People from all over the world 🌎 gather around th … ']","https://www.google.com.tw/maps/place/Bethesda+Terrace/data=!4m7!3m6!1s0x89c25892a6168611:0x9d94703beba53b51!8m2!3d40.7739489!4d-73.9709661!16zL20vMDl6NHQ2!19sChIJEYYWppJYwokRUTul6ztwlJ0?authuser=0&hl=en&rclk=1",0.0298385281324896
"14",13,"The Metropolitan museum of Art",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,1e+05,17101,4.8,71348,"Museum","A grand setting for one of the world's greatest collections of art, from ancient to contemporary.","[""  One of the best museums that I've ever been to, aside from the Louvre in Paris. It's one of the few places that is always on my list whenever I'm in New York. … "", ""  The museum was phenomenal! It is huge with art work from many different regions! The museum is divided into regions and there was definitely more than enough to see in each section, so be prepared to walk  a lot! (Don't worry though, there … "", '  Fantastic way to spend an afternoon. So much history and amazing works of art all throughout. Avoid the MASSIVE ticket lines by buying online or using the mobile kiosk by the Egyptian section entrance. There are also some spots to grab a … ']","https://www.google.com.tw/maps/place/The+Metropolitan+museum+of+Art/data=!4m7!3m6!1s0x89c25896f660c26f:0x3b2fa4f4b6c6a1fa!8m2!3d40.7794366!4d-73.963244!16zL20vMDljN2I!19sChIJb8Jg9pZYwokR-qHGtvSkLzs?authuser=0&hl=en&rclk=1",10
"15",14,"Strawberry Fields",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,3,18,53,4.6,8252,"Tourist attraction","Quiet, shady patch of Central Park with black-&-white tile mosaic honoring Beatle John Lennon.","['  This is a good place to sit and think about yourself.  A place of memory for a musician, but it seems to me that people come here to grieve about other people - departed relatives and friends.  It is better to come here before 10:00 am and … ', '  This area dedicated to the memory of John Lennon is a perfect place for quiet reflection or just resting and taking in the vibes around you. Located just a quick walk inside Central Park near the Dakota building where Lennon lived and was … ', '  This John Lennon memorial is beautiful. I wanted to make a tribute and placed two pink roses on the mosaic. ❤️☮️ ']","https://www.google.com.tw/maps/place/Strawberry+Fields/data=!4m7!3m6!1s0x89c258f82783a5d9:0xbd239d025aa7a850!8m2!3d40.7758125!4d-73.9748125!16zL20vMDEzMzk3!19sChIJ2aWDJ_hYwokRUKinWgKdI70?authuser=0&hl=en&rclk=1",0.0452322071281239
"16",15,"The Battery",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,249,4600,3413,4.6,59548,"Park","Historic park with Ellis Island & Statue of Liberty views & ferry service to both islands.","['  Battery park is great place to spend day. Amazing view and so many things to enjoy. Really nice pond with ducks , fishes and water fall. Nice kids playground with a lot to do for kids. Volleyball court,shopping mall and so many small and … ', '  Quiet and serene place to go to. However I get an eerie atmosphere by late evening as the sun set down. Am not sure of its the same during the bright daylight. There were few people enjoying the evening sunset and sea breeze as well some joggers working out. The place could be better lit to facilitate a more safe and welcoming aura. ', '  Excellent public park. Clean and wonderfully landscaped with great riverfront views. Particularly liked sitting underneath the trees to have lunch in Battery Oval after taking in the sights on the Staten Island Ferry and visiting the nearby Skyscraper museum. The restrooms are also surprisingly well-kept considering they are in NYC. ']","https://www.google.com.tw/maps/place/The+Battery/data=!4m7!3m6!1s0x89c25a12f88ba2ad:0xbe70465e98439c12!8m2!3d40.7029312!4d-74.0153603!16zL20vMDRzcjEy!19sChIJraKL-BJawokREpxDmF5GcL4?authuser=0&hl=en&rclk=1",3.95074422772568
"17",16,"Central Park",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,8860,3568,4.8,244937,"Park","Sprawling park with pedestrian paths & ballfields, plus a zoo, carousel, boat rentals & a reservoir.","['  Best park in the world.  You can spend days and hours here and every time you walk through it’s a new experience.  Love grabbing breakfast and coffee and taking a walk.  Sometimes through the Rambles and sometimes by Strawberry Fields. … ', ""  Just breathe taking autumn experience.\nCentral park is huge. I wasn't able to walk true the entire park, but what i saw was amazing. … "", ""  Hands down, one of the best parks  that I've ever been to.\n\nCentral Park is not only big but also that something for everyone. I love to … ""]","https://www.google.com.tw/maps/place/Central+Park/data=!4m7!3m6!1s0x89c2589a018531e3:0xb9df1f7387a94119!8m2!3d40.7825547!4d-73.9655834!16zL20vMDljN3Y!19sChIJ4zGFAZpYwokRGUGph3Mf37k?authuser=0&hl=en&rclk=1",4.23490977805177
"18",17,"Brookfield Place",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,0,0,0,4.6,17501,"Shopping mall","Towering waterfront office complex offering shopping, dining & ice-skating, plus special events.","['  Truly Beautiful and luxurious looking mall/shopping center, with many high-end shops, restaurants and gorgeous views.\nThe glass dome and palm trees along with the grand staircase and the marina with … ', '  I love this mall! Its so pretty and has many many food options, didn’t really explore the stores so can’t comment on that but i will update my review next time i go. Definitely a fun an interesting place to hang out with friends or family, views are beautiful. ', '  This shopping center is very nice. Very clean, nice and cool on a hot day if you need to take a break from the heat, and the food court is very good as well. … ']","https://www.google.com.tw/maps/place/Brookfield+Place/data=!4m7!3m6!1s0x89c25a1b0cd3c8cb:0xf4ba617cb0ddc07!8m2!3d40.7127168!4d-74.0152824!16zL20vMDF5ZF85!19sChIJy8jTDBtawokRB9wNyxemSw8?authuser=0&hl=en&rclk=1",0
"19",18,"Edge",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,27254,4184,4.6,8978,"Tourist attraction","Protruding 100-stories-high observation deck, with a glass floor, bar & 360-degree NYC views.","['  We loved the edge. The view was amazing from the top. We also went to the the top of the rock and the edge was a much better experience. The ride up in the elevator was an experience in its self. The show an amazing projection on the … ', '  I have been to a lot of the rooftop viewing attractions in New York and this beats them all. The ease of getting in was quick and getting through security and to the top was very fast. The lift to the top is smooth with a cool animated view … ', '  A New York experience. The Edge is a must if you want a panoramic view of the city. The area is surrounded by glass so no view is a bad view. I recommend going at sunset/after dark so you can see the city light up. It’s a tourist attraction so have some patience and bring a camera! ']","https://www.google.com.tw/maps/place/Edge/data=!4m7!3m6!1s0x89c2590de5aaaadd:0xcc6b2b13b4bd86f!8m2!3d40.7541236!4d-74.0009744!16s%2Fg%2F11j38vkhjk!19sChIJ3aqq5Q1ZwokRb9hLO7Gyxgw?authuser=0&hl=en&rclk=1",5.39842820621192
"20",19,"Chrysler Building",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,8,40,116,4.6,4885,"Tourist attraction","Shimmering art deco skyscraper from 1930 whose spire once made it the world's tallest building.","['  Wonderful !  For me, the most beautiful building in New York.  One of the symbols of rich, prosperous New York and the Roaring Twenties.  Its Art-deco style gives it refined details. The eagles are magnificent.  located on the 61st floor, … ', ""  Probably the world's most beautiful skyscraper imo, specially considering its age.\nLast time we were in NYC 5 years ago we were allowed to enter the lobby, now … "", ""  I've been wanting to visit this building for years but sadly the 4 days I was in New York for the building was closed due to covid and the closet I could get were the front doors which was so disappointing as this was August 2022 and … ""]","https://www.google.com.tw/maps/place/Chrysler+Building/data=!4m7!3m6!1s0x89c2590247c56379:0x15e13bea38b43e18!8m2!3d40.7516208!4d-73.975502!16zL20vMDF6bWQ!19sChIJeWPFRwJZwokRGD60OOo74RU?authuser=0&hl=en&rclk=1",0.120113176416981
"21",20,"Intrepid Sea, Air & Space museum",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,16993,46585,4.6,33011,"Museum","Flight museum on an aircraft carrier whose exhibits include a Concorde, submarine & space shuttle.","['  The museum spaces are so clean and well kept. Well planned out and managed. Lots of staff available to answer questions. We had a really nice time and the views from the flight deck are amazing. Be sure you ride the aircraft elevator if … ', ""  Fantastic museum. Plenty to see and for kids to do. They've done an amazing job of trying to give a glimpse of the history of the ship, those that served, the conflicts and a variety of aircraft. … "", '  I would highly recommend visiting the Intrepid museum. This is great for kids all the way up to adults. Going into the submarine was absolutely mind-blowing. Getting to see the spaceship on the upper level was also a great moment. So much … ']","https://www.google.com.tw/maps/place/Intrepid+Sea,+Air+%26+Space+museum/data=!4m7!3m6!1s0x89c2584ed560199f:0x22362b652743ff1!8m2!3d40.7645266!4d-73.9996076!16zL20vMDJ5c3hm!19sChIJnxlg1U5YwokR8T90UrZiIwI?authuser=0&hl=en&rclk=1",4.74936532748237
"22",21,"Washington Square Park",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,15567,6140,4.6,22708,"Park","Historic Greenwich Village concrete-&-green park known for its stately arch & prime people-watching.","[""  I've always loved this park and on my recent visit, I was reminded of why.  It's really a park of the people for the people.  You see so much diversity here.  Young and old were enjoying the day.  There was some good music as well.  Loved seeing the people with their doggies.  The park was clean and so were the bathrooms. "", '  Very chill space with so much going on - definitely good place for people watching. Many restaurants around to be able to grab something tasty and enjoy here at the park. Very diverse group of folks - art displays, dog walking, … ', '  Next to Central Park, this is my next favorite park in NYC. This park may be substantially smaller, however the diversity and things to do are just as plentiful. … ']","https://www.google.com.tw/maps/place/Washington+Square+Park/data=!4m7!3m6!1s0x89c25990e23d7e8d:0xfa615edfd1b67e18!8m2!3d40.7308838!4d-73.997332!16zL20vMDM3c25f!19sChIJjX494pBZwokRGH620d9eYfo?authuser=0&hl=en&rclk=1",4.65916323557434
"23",22,"Statue of Liberty",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,249,19083,4360,4.7,86996,"Historical landmark","Iconic National Monument opened in 1886, offering guided tours, a museum & city views.","['  A Historical landmark and staple of New York.\n\nDefinitely recommend getting tickets in advance. If your looking for tickets for … ', ""  Wow, that's simply all I can say about my visit to the State of Liberty. You see pictures, you see it from a distance, but to actually be right below. It was amazing. Take time to reflect on all of the immigrants that passed through that … "", '  The museum was very interesting. We took a guided tour to both Liberty 🗽 Island and Ellis Island, which honestly wasn’t worth the money we paid. The guide was great but the tour is reasonably priced and easy to navigate without a guide an … ']","https://www.google.com.tw/maps/place/Statue+of+Liberty/data=!4m7!3m6!1s0x89c25090129c363d:0x40c6a5770d25022b!8m2!3d40.6892494!4d-74.0445004!16zL20vMDcycDg!19sChIJPTacEpBQwokRKwIlDXelxkA?authuser=0&hl=en&rclk=1",4.86687108403988
"24",23,"The museum of Modern Art",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,1e+05,17895,4.6,41427,"Museum","Works from van Gogh to Warhol & beyond plus a sculpture garden, 2 cafes & The Modern restaurant.","['  I have to give it 5 stars. I mean, the collection is insane. This is on my top 3 museums globally. However, it is a lot. You will get super tired and spend a lot of time if you like art. I would recommend starting from up to down and taking … ', '  The first Friday of the month is free for local New Yorkers to visit but you need to book the tickets in advance. Also they have free pen and paper and even chairs for visitors to participate drawing. The terrace cafe was pretty good. In … ', '  My new favorite art museum. There’s about 6 levels and over 400+ rooms of art here 🤯 — from sculptures, paintings, to multi-media. I loved the versatility of projects and exhibits. They’re were all veneers present too. It was just a … ']","https://www.google.com.tw/maps/place/The+museum+of+Modern+Art/data=!4m7!3m6!1s0x89c258f97bdb102b:0xea9f8fc0b3ffff55!8m2!3d40.7614327!4d-73.9776216!16zL20vMGhoams!19sChIJKxDbe_lYwokRVf__s8CPn-o?authuser=0&hl=en&rclk=1",10
"25",24,"St. Patrick's Cathedral",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,248,8982,3676,4.8,32379,"Cathedral","Towering Neo-Gothic church from 1879 with twin spires & storied history opposite Rockefeller Center.","[""  The most beautiful church I've ever been to. It felt so calm with angelic singing music. Beautiful sculptures and architect. Well lit and police protecting the church and the guest that come in.  I felt safe. Such a great experience to bring friends and family and even go to Sunday mass. "", '  Such an amazingly beautiful & expansive Holy space! And open to the public - who were respectful and quiet. … ', '  Free to enter but tours are available for a few, very impressive building with multiple chapels around the outside. Magnificent windows and organ and an amazing vaulted ceiling. The cathedral is well worth a visit if you are in the Rockefeller Center area. ']","https://www.google.com.tw/maps/place/St.+Patrick's+Cathedral/data=!4m7!3m6!1s0x89c258fc102f6e51:0x88603435e036aa5b!8m2!3d40.7586117!4d-73.9761953!16zL20vMDFraHQz!19sChIJUW4vEPxYwokRW6o24DU0YIg?authuser=0&hl=en&rclk=1",4.21323118670479
"26",25,"Statue City Cruises Battery Park/ Liberty Island",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,250,22801,5775,4.4,3749,"Tourist attraction","Tour operator offering New York Harbor ferry trips to Ellis Island & its museum & Statue of Liberty.","[""  The cruise is amazing. But even in the weekdays, it's crowded. Probably due to the summer time when I visited. I recommend you to buy tickets in advance. It costs $24 for an adult. You can buy it from their website. Don't forget to bring … "", '  Very beautiful and affordable attraction! I would say at least a 3 hour attraction, depending on how long you plan to stay on each island and how crowded the ferries are (load and unload people). … ', '  NYC vacay is not complete without visiting Statue of Liberty. It is better to buy the tickets ahead of time to avoid the long line. The ride was quick and organized. The staff made sure of our safety. Price is reasonable. Best seats are in the upper deck to take pictures. Will love to come back again. ']","https://www.google.com.tw/maps/place/Statue+City+Cruises+Battery+Park%2F+Liberty+Island/data=!4m7!3m6!1s0x89c25a1263de8bdb:0xd8f0cbaa20cd480!8m2!3d40.7034977!4d-74.01661!16s%2Fg%2F11xcwq0z6!19sChIJ24veYxJawokRgNQMoroMjw0?authuser=0&hl=en&rclk=1",5.11675224880205
"27",26,"Belvedere Castle",2022-12-20 21:43:23,"Manhattan","New York","New York",40.7834,-73.9662,12,4580,274,4.5,4958,"Castle","Gothic & Romanesque castle from 1869 set on Vista Rock (the park's highest point) with park views.","['  Honest review from your southern tourist:\nCool find in the middle of NYC.\nIt’s not a bad walk from 81st st. Don’t let the stairs intimidate ya, it’s not … ', '  Belvedere Castle is a great viewing castle 🏰, you can enjoy beautiful scenery and city scenery when you climb to the top.  Especially standing on the castle 🏯 to enjoy this pool of clear water and blue sky, it is really exciting!  This is Central Park worth a visi … ', '  Sweet little hidden castle. Not many people know it’s there. Overlooks a big pond and concert stage. Multiple viewing levels on 3 different floors. Super charming. Great for kids. ']","https://www.google.com.tw/maps/place/Belvedere+Castle/data=!4m7!3m6!1s0x89c258efe1df7c15:0x88efe22fb72978b5!8m2!3d40.7794302!4d-73.9690677!16zL20vMDZ2cmI5!19sChIJFXzf4e9YwokRtXgpty_i74g?authuser=0&hl=en&rclk=1",0.466083828737891
